HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2002273.fn_usniwot1.005.2007214002538.Fpar_1km,MOD15A2,A2002273,fn_usniwot1,2007214002538,Fpar_1km,14,15,15,20,17,26,27,21,51,51,22,56,52,48,43,42,37,48,48,47,42,41,37,45,52,49,43,52,46,46,48,49,44,49,43,50,49,50,45,55,48,45,49,54,37,40,21,20,44
MOD15A2.A2002273.fn_usniwot1.005.2007214002538.LaiStdDev_1km,MOD15A2,A2002273,fn_usniwot1,2007214002538,LaiStdDev_1km,1,1,1,0,1,1,0,2,3,3,1,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,3,1,1,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,1,1,1,2
MOD15A2.A2002273.fn_usniwot1.005.2007214002538.Lai_1km,MOD15A2,A2002273,fn_usniwot1,2007214002538,Lai_1km,2,3,3,3,3,6,6,3,11,11,4,12,11,10,9,9,7,10,10,10,9,8,7,9,11,10,9,11,9,10,10,10,9,10,8,11,10,11,9,11,10,9,10,12,8,9,5,4,8
MOD15A2.A2002281.fn_usniwot1.005.2007218011229.FparExtra_QC,MOD15A2,A2002281,fn_usniwot1,2007218011229,FparExtra_QC,10110000,10110000,11000000,11000000,11000000,10000000,10000000,11000000,01000000,00000000,11000000,00000000,00000000,01001000,01000000,01000000,00000000,01000000,01001000,00000000,00000000,01000000,00000000,01001000,00000000,00000000,00000000,00000000,00000000,01001000,01001000,00000000,00000000,00000000,01000000,01001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10100000,10100000,10000000,10000000,00000000
MOD15A2.A2002281.fn_usniwot1.005.2007218011229.FparLai_QC,MOD15A2,A2002281,fn_usniwot1,2007218011229,FparLai_QC,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00001000,00000000,00000000,00000000
MOD15A2.A2002281.fn_usniwot1.005.2007218011229.FparStdDev_1km,MOD15A2,A2002281,fn_usniwot1,2007218011229,FparStdDev_1km,0,0,7,0,0,7,5,4,8,10,5,10,9,12,10,10,9,14,10,10,9,9,9,8,10,9,10,8,9,14,10,9,10,9,10,12,9,9,10,9,10,9,10,10,6,4,6,7,10
MOD15A2.A2002281.fn_usniwot1.005.2007218011229.Fpar_1km,MOD15A2,A2002281,fn_usniwot1,2007218011229,Fpar_1km,19,29,15,29,29,36,41,30,55,57,36,61,65,59,66,66,64,68,62,58,57,56,65,59,59,58,51,53,64,67,62,57,52,54,57,64,65,56,53,55,53,56,60,53,41,42,29,27,49
MOD15A2.A2002281.fn_usniwot1.005.2007218011229.LaiStdDev_1km,MOD15A2,A2002281,fn_usniwot1,2007218011229,LaiStdDev_1km,0,0,1,0,0,2,2,1,3,4,1,4,5,6,6,5,5,11,5,4,3,3,5,3,4,4,3,3,5,13,5,3,3,3,4,11,5,3,3,3,3,3,4,3,2,1,2,2,3
MOD15A2.A2002281.fn_usniwot1.005.2007218011229.Lai_1km,MOD15A2,A2002281,fn_usniwot1,2007218011229,Lai_1km,3,6,3,6,6,8,10,6,11,13,7,14,16,14,17,17,16,20,15,13,12,12,16,14,13,13,11,11,16,20,15,13,11,12,13,18,16,12,11,12,11,12,14,11,9,10,7,6,10
MOD15A2.A2002289.fn_usniwot1.005.2007222052926.FparExtra_QC,MOD15A2,A2002289,fn_usniwot1,2007222052926,FparExtra_QC,10110000,10110000,11000000,10110000,11000000,11000000,11000000,10110000,01000000,01000000,11000000,01000000,01000000,00000000,01000000,01000000,01000000,01000000,00000000,00000000,01000000,01000000,01000000,01000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,10000000,10000000,10000000,00000000
MOD15A2.A2002289.fn_usniwot1.005.2007222052926.FparLai_QC,MOD15A2,A2002289,fn_usniwot1,2007222052926,FparLai_QC,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2002289.fn_usniwot1.005.2007222052926.FparStdDev_1km,MOD15A2,A2002289,fn_usniwot1,2007222052926,FparStdDev_1km,6,9,9,0,0,0,5,6,7,8,0,9,10,9,9,9,8,10,9,9,10,9,8,8,8,9,10,9,9,10,9,8,10,9,9,10,10,9,10,10,10,10,9,10,0,5,6,6,8
MOD15A2.A2002289.fn_usniwot1.005.2007222052926.Fpar_1km,MOD15A2,A2002289,fn_usniwot1,2007222052926,Fpar_1km,16,16,18,20,27,38,39,31,56,59,40,65,68,66,67,66,64,68,68,65,60,57,65,65,64,64,59,59,66,68,66,64,59,59,63,67,67,61,58,59,59,60,66,59,37,35,32,31,54
MOD15A2.A2002289.fn_usniwot1.005.2007222052926.LaiStdDev_1km,MOD15A2,A2002289,fn_usniwot1,2007222052926,LaiStdDev_1km,1,1,1,0,0,0,1,1,2,2,0,3,5,4,4,4,3,4,4,3,3,2,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,3,0,1,1,1,2
MOD15A2.A2002289.fn_usniwot1.005.2007222052926.Lai_1km,MOD15A2,A2002289,fn_usniwot1,2007222052926,Lai_1km,3,2,2,3,3,6,7,4,9,9,6,11,13,12,12,12,12,13,13,12,10,9,12,12,11,11,10,10,12,13,12,11,10,10,11,13,13,10,10,10,10,10,12,10,6,6,5,5,8
MOD15A2.A2002297.fn_usniwot1.005.2007227051412.FparExtra_QC,MOD15A2,A2002297,fn_usniwot1,2007227051412,FparExtra_QC,10100000,10100000,10100000,10110100,10110100,10110000,10110000,10100000,00100000,00100100,10110000,00100100,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,01000000,00110000,00110000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01001000,01000000,01000000,01000000,01000000,01000000,01001000,01001000,01001000,01001000,01001000,01000000,01001000,11001000,11001000,10110000,10110000,01001000
MOD15A2.A2002297.fn_usniwot1.005.2007227051412.FparLai_QC,MOD15A2,A2002297,fn_usniwot1,2007227051412,FparLai_QC,01101001,01101001,01101001,01100001,01100001,00001000,00001000,01101001,01101001,01100001,00001000,01100001,00001000,00010000,01101001,00001000,00001000,00001000,00001000,00010000,00000000,00001000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00010000,00000000
MOD15A2.A2002297.fn_usniwot1.005.2007227051412.FparStdDev_1km,MOD15A2,A2002297,fn_usniwot1,2007227051412,FparStdDev_1km,248,248,248,248,248,8,6,248,248,248,0,248,12,10,248,8,9,11,10,9,9,10,10,9,10,10,8,8,10,10,9,9,9,9,9,12,10,9,9,10,8,9,10,10,6,6,0,0,10
MOD15A2.A2002297.fn_usniwot1.005.2007227051412.Fpar_1km,MOD15A2,A2002297,fn_usniwot1,2007227051412,Fpar_1km,2,3,3,5,7,14,28,13,16,19,9,32,60,59,28,52,55,59,61,57,55,41,57,58,56,56,54,53,58,61,58,56,54,55,55,62,62,57,55,56,54,55,58,56,33,27,24,24,41
MOD15A2.A2002297.fn_usniwot1.005.2007227051412.LaiStdDev_1km,MOD15A2,A2002297,fn_usniwot1,2007227051412,LaiStdDev_1km,248,248,248,248,248,1,1,248,248,248,0,248,3,3,248,2,2,3,3,2,2,2,3,2,3,3,2,2,3,3,3,2,2,2,2,4,3,2,2,3,2,2,3,3,1,1,0,0,2
MOD15A2.A2002297.fn_usniwot1.005.2007227051412.Lai_1km,MOD15A2,A2002297,fn_usniwot1,2007227051412,Lai_1km,0,1,1,1,1,2,4,3,3,4,1,7,10,10,6,8,9,10,11,9,9,6,9,10,9,9,8,8,10,10,10,9,9,9,9,11,11,9,9,9,8,9,10,9,5,4,3,3,6
MOD15A2.A2002305.fn_usniwot1.005.2007231013724.FparExtra_QC,MOD15A2,A2002305,fn_usniwot1,2007231013724,FparExtra_QC,10100000,10100000,10100100,10100000,10100100,10100100,10100100,10100100,00100100,00100100,10100100,00100100,00100100,00100100,00100100,00100100,01000100,01000100,01000100,01000100,01000100,01000100,01000100,01000100,01000100,01000100,01000000,01000000,01000100,01000100,01000000,01000000,01000000,01000000,00001000,01000000,01000000,01000000,01000000,01001000,01001000,01001000,01001000,00100000,11001000,11001000,11000100,10001100,00001100
MOD15A2.A2002305.fn_usniwot1.005.2007231013724.FparLai_QC,MOD15A2,A2002305,fn_usniwot1,2007231013724,FparLai_QC,01101001,01101001,01100001,01101001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,01100001,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,01100001,01100001,01100001,01100001,00000000,00000000,00010000,01100001,01100001,01100001,00000000,01110001,01110001,01100001,01100001,01100001,01110001,01110001,01110001,01110001,01100001,01100001,01100001,00000000,01100001
MOD15A2.A2002305.fn_usniwot1.005.2007231013724.FparStdDev_1km,MOD15A2,A2002305,fn_usniwot1,2007231013724,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,6,10,8,10,8,11,248,6,10,248,248,248,248,6,8,10,248,248,248,10,248,248,248,248,248,248,248,248,248,248,248,248,0,248
MOD15A2.A2002305.fn_usniwot1.005.2007231013724.Fpar_1km,MOD15A2,A2002305,fn_usniwot1,2007231013724,Fpar_1km,1,1,2,2,3,4,11,6,9,13,15,15,27,37,21,51,57,57,59,53,44,17,50,58,32,33,25,23,50,59,68,34,28,30,45,39,43,26,17,21,19,23,40,16,7,9,7,8,17
MOD15A2.A2002305.fn_usniwot1.005.2007231013724.LaiStdDev_1km,MOD15A2,A2002305,fn_usniwot1,2007231013724,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1,3,2,3,2,2,248,1,3,248,248,248,248,1,2,5,248,248,248,2,248,248,248,248,248,248,248,248,248,248,248,248,0,248
MOD15A2.A2002305.fn_usniwot1.005.2007231013724.Lai_1km,MOD15A2,A2002305,fn_usniwot1,2007231013724,Lai_1km,0,0,0,0,1,1,2,1,2,2,3,3,5,8,4,7,9,9,10,8,6,3,7,9,7,7,5,5,7,10,13,8,6,6,6,9,10,5,3,4,4,5,9,3,1,2,1,1,3
MOD15A2.A2002313.fn_usniwot1.005.2007235092100.FparExtra_QC,MOD15A2,A2002313,fn_usniwot1,2007235092100,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10100100,10100100,10100000,00100100,00100000,10100100,00100100,00100100,01000100,00100100,00110100,00110100,01000000,01000000,01000000,01001000,00110100,00110100,01000000,01000000,01001000,01001000,00110000,01000100,01000000,01001000,01001000,01001000,01001000,01001100,00110000,01000100,01001000,00110000,00110000,00110000,00110100,01001100,01000000,10100000,11000000,10100000,10100000,00110000
MOD15A2.A2002313.fn_usniwot1.005.2007235092100.FparLai_QC,MOD15A2,A2002313,fn_usniwot1,2007235092100,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01100001,01100001,01101001,01100001,01101001,01100001,01100001,01100001,01100001,01100001,01100001,00000000,01110001,00000000,01110001,01110001,01100001,01100001,00000000,01100001,01110001,01110001,01110001,01100001,01110001,00010000,01100001,01100001,01110001,01100001,01101001,01100001,01100001,01110001,01110001,00001000,00000000,00000000,01100001,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2002313.fn_usniwot1.005.2007235092100.FparStdDev_1km,MOD15A2,A2002313,fn_usniwot1,2007235092100,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248,11,248,248,248,248,6,248,248,248,248,248,248,8,248,248,248,248,248,248,248,248,248,9,13,6,248,0,9,0,9,10
MOD15A2.A2002313.fn_usniwot1.005.2007235092100.Fpar_1km,MOD15A2,A2002313,fn_usniwot1,2007235092100,Fpar_1km,1,1,1,2,3,3,6,5,6,8,10,10,17,25,14,18,30,24,46,26,31,10,22,51,22,23,18,17,23,29,66,36,25,21,31,23,30,21,15,14,16,30,49,13,8,17,8,17,20
MOD15A2.A2002313.fn_usniwot1.005.2007235092100.LaiStdDev_1km,MOD15A2,A2002313,fn_usniwot1,2007235092100,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248,2,248,248,248,248,1,248,248,248,248,248,248,3,248,248,248,248,248,248,248,248,248,1,2,1,248,0,1,0,1,1
MOD15A2.A2002313.fn_usniwot1.005.2007235092100.Lai_1km,MOD15A2,A2002313,fn_usniwot1,2007235092100,Lai_1km,0,0,0,0,1,0,1,1,1,2,2,2,3,5,3,3,3,5,6,5,7,2,4,7,4,5,3,3,5,6,12,8,5,4,7,5,6,4,3,3,2,4,7,3,1,2,1,2,2
MOD15A2.A2002321.fn_usniwot1.005.2007239024042.FparExtra_QC,MOD15A2,A2002321,fn_usniwot1,2007239024042,FparExtra_QC,11000100,10100100,11000100,10100100,10100000,10100100,10110000,10100100,00100100,00100100,10100100,00000100,00000100,00000100,00100100,00100100,01000000,00000000,00000000,00000000,00001000,00100100,01000000,01000000,00000000,00001000,00110000,00001000,00000000,01000000,01000000,00001000,00001000,00001000,00001000,00000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,10001000,10001000,10001000,10001000,00001000
MOD15A2.A2002321.fn_usniwot1.005.2007239024042.FparLai_QC,MOD15A2,A2002321,fn_usniwot1,2007239024042,FparLai_QC,01100001,01100001,01100001,01100001,00001000,01100001,00001000,01100001,01100001,01100001,01100001,01100001,01100001,00000000,01100001,00000000,00001000,00010000,00010000,00010000,00000000,01100001,00010000,00001000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00010000,00000000
MOD15A2.A2002321.fn_usniwot1.005.2007239024042.FparStdDev_1km,MOD15A2,A2002321,fn_usniwot1,2007239024042,FparStdDev_1km,248,248,248,248,0,248,0,248,248,248,248,248,248,10,248,0,9,10,8,9,10,248,7,9,8,7,7,0,0,7,10,10,0,0,7,9,10,6,12,248,10,6,9,10,7,7,7,7,12
MOD15A2.A2002321.fn_usniwot1.005.2007239024042.Fpar_1km,MOD15A2,A2002321,fn_usniwot1,2007239024042,Fpar_1km,2,2,2,2,9,5,8,13,11,11,15,18,28,57,25,45,60,55,65,60,56,20,56,66,53,52,35,45,45,64,67,61,45,45,62,59,67,50,47,31,46,61,65,46,31,33,32,30,46
MOD15A2.A2002321.fn_usniwot1.005.2007239024042.LaiStdDev_1km,MOD15A2,A2002321,fn_usniwot1,2007239024042,LaiStdDev_1km,248,248,248,248,0,248,0,248,248,248,248,248,248,3,248,0,2,2,3,3,3,248,2,4,2,2,1,0,0,3,4,3,0,0,2,2,4,1,2,248,2,2,3,2,1,1,1,1,3
MOD15A2.A2002321.fn_usniwot1.005.2007239024042.Lai_1km,MOD15A2,A2002321,fn_usniwot1,2007239024042,Lai_1km,0,0,0,0,1,1,1,3,2,2,3,4,6,9,5,6,10,9,12,10,9,4,8,12,8,8,4,6,6,11,13,10,6,6,10,9,12,7,7,7,6,10,12,6,4,5,5,5,7
MOD15A2.A2002329.fn_usniwot1.005.2007243132918.FparExtra_QC,MOD15A2,A2002329,fn_usniwot1,2007243132918,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10000000,10000000,10100000,00100000,00100100,10100000,01000000,01000100,00000000,00100000,01000100,01000100,01000100,01000100,01000000,00001000,00100000,01000000,00000000,01000000,00001000,01001000,01001000,00001100,01000000,01000000,01001000,01001000,01001000,00001000,00001000,00001000,01001000,01001000,01001000,00001000,00001000,01001000,00001000,10001000,10001000,10001000,10001000,00001000
MOD15A2.A2002329.fn_usniwot1.005.2007243132918.FparLai_QC,MOD15A2,A2002329,fn_usniwot1,2007243132918,FparLai_QC,01101001,01101001,01101001,01101001,01101001,00000000,00000000,00001000,01101001,01100001,01101001,01101001,01100001,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2002329.fn_usniwot1.005.2007243132918.FparStdDev_1km,MOD15A2,A2002329,fn_usniwot1,2007243132918,FparStdDev_1km,248,248,248,248,248,8,0,0,248,248,248,248,248,9,10,0,12,6,11,11,10,8,10,10,8,6,11,10,8,12,11,10,7,11,10,10,9,9,6,11,6,10,12,0,0,5,7,6,12
MOD15A2.A2002329.fn_usniwot1.005.2007243132918.Fpar_1km,MOD15A2,A2002329,fn_usniwot1,2007243132918,Fpar_1km,4,4,3,3,6,18,23,9,18,17,21,23,33,56,45,56,61,63,69,70,58,37,58,70,54,50,43,39,52,70,70,59,51,43,59,58,66,54,49,44,50,61,70,45,38,43,30,34,48
MOD15A2.A2002329.fn_usniwot1.005.2007243132918.LaiStdDev_1km,MOD15A2,A2002329,fn_usniwot1,2007243132918,LaiStdDev_1km,248,248,248,248,248,1,0,0,248,248,248,248,248,2,2,0,4,2,10,10,3,1,3,5,2,1,2,2,2,10,10,3,1,2,3,3,3,2,1,2,1,3,10,0,0,1,1,1,3
MOD15A2.A2002329.fn_usniwot1.005.2007243132918.Lai_1km,MOD15A2,A2002329,fn_usniwot1,2007243132918,Lai_1km,1,1,1,1,1,2,3,1,4,3,5,5,7,9,6,9,11,10,15,15,10,5,9,14,8,7,6,5,8,16,15,10,8,6,10,9,12,9,7,6,7,10,16,6,6,7,5,5,7
MOD15A2.A2002353.fn_usniwot1.005.2007257115443.FparExtra_QC,MOD15A2,A2002353,fn_usniwot1,2007257115443,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,00100000,00100000,10100100,00100100,00100100,00100100,00100100,00100100,00110100,00110100,00110000,00110000,00110000,00110100,00110100,00110000,00100000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,01000000,01000000,00110000,01000000,11000000,10000000,10000000,11000000,01000000
MOD15A2.A2002353.fn_usniwot1.005.2007257115443.FparLai_QC,MOD15A2,A2002353,fn_usniwot1,2007257115443,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01100001,01100001,01100001,01100001,01100001,01100001,00000000,01100001,00010000,00000000,00010000,01100001,00000000,00000000,00001000,00000000,00010000,00010000,01100001,00000000,00000000,00000000,00010000,00000000,00010000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2002353.fn_usniwot1.005.2007257115443.FparStdDev_1km,MOD15A2,A2002353,fn_usniwot1,2007257115443,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,9,248,8,8,11,248,7,9,0,10,0,10,248,4,9,9,10,10,7,248,8,6,0,0,6,10,8,6,7,7,6,7,10
MOD15A2.A2002353.fn_usniwot1.005.2007257115443.Fpar_1km,MOD15A2,A2002353,fn_usniwot1,2007257115443,Fpar_1km,2,2,2,2,3,4,9,8,10,10,12,13,23,35,23,31,58,38,64,56,44,17,55,65,45,46,45,43,34,60,61,56,43,44,55,37,55,51,45,45,49,58,64,51,31,32,28,30,47
MOD15A2.A2002353.fn_usniwot1.005.2007257115443.LaiStdDev_1km,MOD15A2,A2002353,fn_usniwot1,2007257115443,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,2,248,3,2,2,248,2,3,0,2,0,2,248,1,3,2,2,2,2,248,2,1,0,0,1,3,3,1,1,1,1,1,2
MOD15A2.A2002353.fn_usniwot1.005.2007257115443.Lai_1km,MOD15A2,A2002353,fn_usniwot1,2007257115443,Lai_1km,0,0,0,0,1,1,1,2,2,2,2,3,5,8,5,7,9,9,11,9,6,3,8,12,6,6,6,6,8,9,10,9,6,6,8,8,8,7,6,6,7,9,11,7,5,5,4,5,7
MOD15A2.A2002361.fn_usniwot1.005.2007260004324.FparExtra_QC,MOD15A2,A2002361,fn_usniwot1,2007260004324,FparExtra_QC,10100000,10100000,10100000,10110000,10100000,10100000,10110000,10100000,00100000,01000100,10100000,01000000,01000000,00100100,00100000,00110100,00110100,00110000,00110100,00110000,00110000,01000000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,00110000,01000000,01000000,01000000,00000000,00000000,00110000,00110000,01000000,01000000,00000000,00001000,00001000,00110000,00110000,10110000,10110000,10110000,10110000,00001000
MOD15A2.A2002361.fn_usniwot1.005.2007260004324.FparLai_QC,MOD15A2,A2002361,fn_usniwot1,2007260004324,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01101001,00001000,01101001,00001000,00000000,01101001,00001000,00001000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00010000,00010000,00010000,00000000
MOD15A2.A2002361.fn_usniwot1.005.2007260004324.FparStdDev_1km,MOD15A2,A2002361,fn_usniwot1,2007260004324,FparStdDev_1km,248,248,248,248,248,248,9,248,13,0,248,0,0,10,9,10,10,12,8,7,9,0,11,8,12,12,10,10,12,10,8,7,11,11,8,7,11,9,10,12,8,8,9,12,7,7,0,6,10
MOD15A2.A2002361.fn_usniwot1.005.2007260004324.Fpar_1km,MOD15A2,A2002361,fn_usniwot1,2007260004324,Fpar_1km,3,3,2,3,4,6,17,13,23,9,15,9,9,56,18,44,50,49,54,50,44,9,47,53,45,47,43,41,45,57,54,51,43,48,52,52,59,54,45,49,54,53,56,50,32,30,25,28,42
MOD15A2.A2002361.fn_usniwot1.005.2007260004324.LaiStdDev_1km,MOD15A2,A2002361,fn_usniwot1,2007260004324,LaiStdDev_1km,248,248,248,248,248,248,1,248,2,0,248,0,0,3,1,2,2,3,2,2,2,0,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,1,1,0,1,2
MOD15A2.A2002361.fn_usniwot1.005.2007260004324.Lai_1km,MOD15A2,A2002361,fn_usniwot1,2007260004324,Lai_1km,0,1,0,0,1,1,2,3,3,1,3,1,1,9,2,6,8,7,9,8,6,1,7,8,6,7,6,6,6,9,8,8,6,7,8,8,10,8,6,7,8,8,9,7,5,4,3,4,6
MOD15A2.A2003001.fn_usniwot1.005.2007262223310.FparExtra_QC,MOD15A2,A2003001,fn_usniwot1,2007262223310,FparExtra_QC,10100000,10100000,10100000,10100100,10100000,10100000,10110000,10100000,00100000,01000100,10100000,01000000,01000000,01000000,00100000,01000100,00110100,01000100,01000000,00100100,01001000,01000000,00000100,01000000,00110000,00000000,00100000,00110000,00001000,00001000,01001000,01001000,00110000,00110000,00100000,00001100,01001000,01001000,00110000,00110000,00100000,01000000,01001000,01001000,11001000,11000000,11000000,10001000,00001000
MOD15A2.A2003001.fn_usniwot1.005.2007262223310.FparLai_QC,MOD15A2,A2003001,fn_usniwot1,2007262223310,FparLai_QC,01101001,01101001,01101001,01100001,01101001,01101001,00001000,01101001,00001000,00000000,01101001,00001000,00001000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00010000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2003001.fn_usniwot1.005.2007262223310.FparStdDev_1km,MOD15A2,A2003001,fn_usniwot1,2007262223310,FparStdDev_1km,248,248,248,248,248,248,9,248,13,0,248,0,0,9,9,0,12,11,0,6,8,0,8,9,9,6,8,8,10,9,9,10,11,11,10,8,9,9,11,11,12,10,8,0,7,7,7,7,13
MOD15A2.A2003001.fn_usniwot1.005.2007262223310.Fpar_1km,MOD15A2,A2003001,fn_usniwot1,2007262223310,Fpar_1km,3,2,2,2,4,6,17,13,23,9,15,9,9,56,18,9,49,51,65,61,54,9,54,66,44,49,37,36,45,66,66,57,43,42,44,56,66,55,43,43,47,58,64,45,31,31,31,30,47
MOD15A2.A2003001.fn_usniwot1.005.2007262223310.LaiStdDev_1km,MOD15A2,A2003001,fn_usniwot1,2007262223310,LaiStdDev_1km,248,248,248,248,248,248,1,248,2,0,248,0,0,2,1,0,3,2,0,2,2,0,2,3,2,1,1,1,2,3,3,2,2,2,2,2,3,2,2,2,3,3,3,0,1,1,1,1,3
MOD15A2.A2003001.fn_usniwot1.005.2007262223310.Lai_1km,MOD15A2,A2003001,fn_usniwot1,2007262223310,Lai_1km,0,0,0,0,1,1,2,3,3,1,3,1,1,9,2,1,7,8,11,10,8,1,8,12,6,7,5,5,6,12,12,9,6,6,6,8,12,9,6,6,7,9,11,6,5,5,5,5,7
MOD15A2.A2003009.fn_usniwot1.005.2007266172535.FparExtra_QC,MOD15A2,A2003009,fn_usniwot1,2007266172535,FparExtra_QC,10100000,10100000,11001000,11001000,10001100,11000100,11000100,10100000,01001000,01000100,11000100,00100100,00100100,01000100,01000100,00100000,01000000,00000000,01000100,01000000,01000000,01000000,00000000,00000000,00000000,00001000,00001000,01001000,00000000,00001000,00001000,01001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,00001000,00001000,11000000,11000000,10110000,10110000,01000000
MOD15A2.A2003009.fn_usniwot1.005.2007266172535.FparLai_QC,MOD15A2,A2003009,fn_usniwot1,2007266172535,FparLai_QC,01101001,01101001,01101001,01101001,01100001,01100001,01100001,01101001,01101001,01100001,01100001,01100001,01100001,00000000,01100001,00001000,00010000,00010000,00000000,00000000,00000000,01110001,00010000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2003009.fn_usniwot1.005.2007266172535.FparStdDev_1km,MOD15A2,A2003009,fn_usniwot1,2007266172535,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,9,248,5,4,8,5,8,8,248,9,10,11,10,11,9,11,0,8,7,8,8,9,11,10,8,6,11,7,10,11,10,7,7,6,7,8
MOD15A2.A2003009.fn_usniwot1.005.2007266172535.Fpar_1km,MOD15A2,A2003009,fn_usniwot1,2007266172535,Fpar_1km,2,2,3,3,5,4,9,10,20,13,16,13,27,55,23,49,59,52,69,64,58,16,46,66,50,56,45,46,48,72,73,62,52,52,53,64,62,54,49,49,51,56,77,49,33,32,29,31,44
MOD15A2.A2003009.fn_usniwot1.005.2007266172535.LaiStdDev_1km,MOD15A2,A2003009,fn_usniwot1,2007266172535,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,2,248,1,1,2,2,3,2,248,2,4,2,3,2,2,2,0,4,2,2,2,2,4,3,2,1,2,2,2,14,2,1,1,1,1,2
