HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000089.fn_usniwot1.005.2006262224735.FparStdDev_1km,MOD15A2,A2000089,fn_usniwot1,2006262224735,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,9,10,6,10,248,248,9,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,8,248,248,7,8,5,5,11
MOD15A2.A2000089.fn_usniwot1.005.2006262224735.Fpar_1km,MOD15A2,A2000089,fn_usniwot1,2006262224735,Fpar_1km,0,0,0,0,1,1,5,3,5,5,7,8,15,20,14,20,25,17,20,12,18,9,21,18,14,20,12,10,22,25,27,21,16,14,19,27,28,17,16,16,21,45,23,18,28,26,24,33,41
MOD15A2.A2000089.fn_usniwot1.005.2006262224735.LaiStdDev_1km,MOD15A2,A2000089,fn_usniwot1,2006262224735,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,2,2,1,2,248,248,2,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,2,248,248,2,2,1,1,3
MOD15A2.A2000089.fn_usniwot1.005.2006262224735.Lai_1km,MOD15A2,A2000089,fn_usniwot1,2006262224735,Lai_1km,0,0,0,0,0,0,1,1,1,1,1,1,3,4,3,4,5,3,4,2,3,2,4,3,3,4,2,2,4,5,6,4,3,3,4,5,6,3,3,3,4,9,5,4,6,6,5,7,8
MOD15A2.A2000105.fn_usniwot1.005.2006266163640.FparExtra_QC,MOD15A2,A2000105,fn_usniwot1,2006266163640,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10100100,10000000,10100100,00100100,00100100,11000100,00000000,00000000,00000000,00100100,00100100,01000100,00000000,00000000,00000000,01000000,00100100,00001000,00001000,00000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00000000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,01000000,11000000,11000000,11000000,10001000,00001000
MOD15A2.A2000105.fn_usniwot1.005.2006266163640.FparLai_QC,MOD15A2,A2000105,fn_usniwot1,2006266163640,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01100001,00000000,01100001,01100001,01100001,00000000,01100001,01100001,00000000,01100001,01100001,00000000,00010000,00010000,00010000,00000000,01100001,00010000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00010000,00001000,00000000
MOD15A2.A2000105.fn_usniwot1.005.2006266163640.FparStdDev_1km,MOD15A2,A2000105,fn_usniwot1,2006266163640,FparStdDev_1km,248,248,248,248,248,248,6,248,248,248,0,248,248,8,248,248,10,0,10,7,6,248,10,9,10,9,9,9,7,8,10,8,8,6,6,8,9,8,8,8,8,6,8,11,6,11,9,6,8
MOD15A2.A2000105.fn_usniwot1.005.2006266163640.Fpar_1km,MOD15A2,A2000105,fn_usniwot1,2006266163640,Fpar_1km,0,0,1,0,2,1,11,4,5,6,6,10,21,41,14,22,33,31,44,47,46,13,32,41,34,43,41,39,29,41,44,42,39,38,44,41,45,42,40,42,43,45,50,41,23,20,27,32,41
MOD15A2.A2000105.fn_usniwot1.005.2006266163640.LaiStdDev_1km,MOD15A2,A2000105,fn_usniwot1,2006266163640,LaiStdDev_1km,248,248,248,248,248,248,1,248,248,248,0,248,248,3,248,248,3,0,3,2,2,248,3,3,3,3,3,3,2,2,3,3,2,2,2,3,3,2,2,3,3,2,3,3,2,3,3,2,2
MOD15A2.A2000105.fn_usniwot1.005.2006266163640.Lai_1km,MOD15A2,A2000105,fn_usniwot1,2006266163640,Lai_1km,0,0,0,0,0,0,2,1,1,1,1,2,4,9,3,4,7,6,10,11,10,2,7,9,7,10,9,9,6,9,10,9,9,9,11,9,11,10,10,10,10,11,12,9,6,5,7,8,9
MOD15A2.A2000113.fn_usniwot1.005.2006272074231.FparExtra_QC,MOD15A2,A2000113,fn_usniwot1,2006272074231,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,00100000,00100000,10100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00110000,00110000,00110000,00100000,00100000,00100000,00110000,00110000,00100000,00100000,00100000,00100000,00110000,00110000,00110000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,10100000,10100000,10100000,10100000,00100000
MOD15A2.A2000113.fn_usniwot1.005.2006272074231.FparLai_QC,MOD15A2,A2000113,fn_usniwot1,2006272074231,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01110001,01101001,01101001,01101001,01101001,01101001,01110001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,00001000,01101001
MOD15A2.A2000113.fn_usniwot1.005.2006272074231.FparStdDev_1km,MOD15A2,A2000113,fn_usniwot1,2006272074231,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248
MOD15A2.A2000113.fn_usniwot1.005.2006272074231.Fpar_1km,MOD15A2,A2000113,fn_usniwot1,2006272074231,Fpar_1km,1,1,2,2,3,2,2,2,4,3,3,3,4,3,5,4,3,3,4,5,5,4,5,4,4,5,8,10,2,2,2,3,6,9,10,2,3,4,5,6,8,9,4,5,3,3,4,5,8
MOD15A2.A2000113.fn_usniwot1.005.2006272074231.LaiStdDev_1km,MOD15A2,A2000113,fn_usniwot1,2006272074231,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248
MOD15A2.A2000113.fn_usniwot1.005.2006272074231.Lai_1km,MOD15A2,A2000113,fn_usniwot1,2006272074231,Lai_1km,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,1,1,2,2,0,0,1,1,1,1,2,1,1,0,0,1,1,1
MOD15A2.A2000121.fn_usniwot1.005.2006273024925.FparExtra_QC,MOD15A2,A2000121,fn_usniwot1,2006273024925,FparExtra_QC,10110000,10000100,10000100,11000000,11000000,10001100,10110000,11000100,01000100,00000100,10001100,00001100,00110000,01000000,01000100,00000100,00000100,00000100,01000000,01001000,00001000,00110100,00000000,01001000,01000000,01001000,01001000,00000000,01001000,01001000,01001000,00001000,00001000,00000000,00000000,01001000,00001000,00001000,00000000,00000000,00000000,00000000,00001000,00001000,10000000,10000000,10000000,10000000,00000000
MOD15A2.A2000121.fn_usniwot1.005.2006273024925.FparLai_QC,MOD15A2,A2000121,fn_usniwot1,2006273024925,FparLai_QC,00000000,01100001,01100001,01100001,00000000,00000000,00010000,00000000,01100001,01100001,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000121.fn_usniwot1.005.2006273024925.FparStdDev_1km,MOD15A2,A2000121,fn_usniwot1,2006273024925,FparStdDev_1km,0,248,248,248,0,0,5,0,248,248,0,248,11,8,6,8,7,7,6,9,9,6,10,0,10,10,8,9,10,3,9,10,9,9,9,8,10,8,8,8,8,10,10,7,5,5,5,5,6
