 Mon May 16 09:15:20 PDT 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (PST),WTEQ.I-1 (in) ,
663,2001-01-01,,     4.1,
663,2001-01-02,,     4.1,
663,2001-01-03,,     4.1,
663,2001-01-04,,     4.1,
663,2001-01-05,,     4.1,
663,2001-01-06,,     4.1,
663,2001-01-07,,     4.1,
663,2001-01-08,,     4.1,
663,2001-01-09,,     4.1,
663,2001-01-10,,     4.1,
663,2001-01-11,,     4.1,
663,2001-01-12,,     4.1,
663,2001-01-13,,     4.1,
663,2001-01-14,,     4.1,
663,2001-01-15,,     4.1,
663,2001-01-16,,     4.3,
663,2001-01-17,,     4.3,
663,2001-01-18,,     4.3,
663,2001-01-19,,     4.3,
663,2001-01-20,,     4.3,
663,2001-01-21,,     4.3,
663,2001-01-22,,     4.3,
663,2001-01-23,,     4.3,
663,2001-01-24,,     4.3,
663,2001-01-25,,     4.3,
663,2001-01-26,,     4.3,
663,2001-01-27,,     4.3,
663,2001-01-28,,     4.4,
663,2001-01-29,,     4.5,
663,2001-01-30,,     4.5,
663,2001-01-31,,     4.5,
663,2001-02-01,,     4.5,
663,2001-02-02,,     4.5,
663,2001-02-03,,     4.5,
663,2001-02-04,,     4.6,
663,2001-02-05,,     4.7,
663,2001-02-06,,     4.8,
663,2001-02-07,,     4.9,
663,2001-02-08,,     4.9,
663,2001-02-09,,     5.0,
663,2001-02-10,,     5.1,
663,2001-02-11,,     5.1,
663,2001-02-12,,     5.1,
663,2001-02-13,,     5.1,
663,2001-02-14,,     5.1,
663,2001-02-15,,     5.2,
663,2001-02-16,,     5.2,
663,2001-02-17,,     5.2,
663,2001-02-18,,     5.2,
663,2001-02-19,,     5.2,
663,2001-02-20,,     5.2,
663,2001-02-21,,     5.2,
663,2001-02-22,,     5.4,
663,2001-02-23,,     5.4,
663,2001-02-24,,     5.4,
663,2001-02-25,,     5.5,
663,2001-02-26,,     5.5,
663,2001-02-27,,     5.5,
663,2001-02-28,,     5.7,
663,2001-03-01,,     5.7,
663,2001-03-02,,     5.9,
663,2001-03-03,,     5.9,
663,2001-03-04,,     5.9,
663,2001-03-05,,     5.9,
663,2001-03-06,,     5.9,
663,2001-03-07,,     5.9,
663,2001-03-08,,     6.0,
663,2001-03-09,,     6.1,
663,2001-03-10,,     6.1,
663,2001-03-11,,     6.6,
663,2001-03-12,,     6.8,
663,2001-03-13,,     7.0,
663,2001-03-14,,     6.9,
663,2001-03-15,,     7.3,
663,2001-03-16,,     7.3,
663,2001-03-17,,     7.4,
663,2001-03-18,,     7.7,
663,2001-03-19,,     7.7,
663,2001-03-20,,     7.8,
663,2001-03-21,,     7.7,
663,2001-03-22,,     7.7,
663,2001-03-23,,     7.7,
663,2001-03-24,,     7.7,
663,2001-03-25,,     7.7,
663,2001-03-26,,     8.1,
663,2001-03-27,,     8.3,
663,2001-03-28,,     8.4,
663,2001-03-29,,     8.5,
663,2001-03-30,,     8.8,
663,2001-03-31,,     8.8,
663,2001-04-01,,     8.8,
663,2001-04-02,,     8.9,
663,2001-04-03,,     8.9,
663,2001-04-04,,     8.7,
663,2001-04-05,,     8.5,
663,2001-04-06,,     8.4,
663,2001-04-07,,     8.4,
663,2001-04-08,,     8.4,
663,2001-04-09,,     8.4,
663,2001-04-10,,     8.2,
663,2001-04-11,,     8.6,
663,2001-04-12,,     8.8,
663,2001-04-13,,     8.9,
663,2001-04-14,,     9.0,
663,2001-04-15,,     9.0,
663,2001-04-16,,     9.0,
663,2001-04-17,,     9.1,
663,2001-04-18,,     8.8,
663,2001-04-19,,     8.5,
663,2001-04-20,,     8.2,
663,2001-04-21,,     8.1,
663,2001-04-22,,     8.8,
663,2001-04-23,,     9.8,
663,2001-04-24,,     9.8,
663,2001-04-25,,     9.6,
663,2001-04-26,,     9.5,
663,2001-04-27,,     9.3,
663,2001-04-28,,     9.1,
663,2001-04-29,,     9.0,
663,2001-04-30,,     8.6,
663,2001-05-01,,     8.3,
663,2001-05-02,,     7.6,
663,2001-05-03,,     8.3,
663,2001-05-04,,     8.8,
663,2001-05-05,,     9.2,
663,2001-05-06,,     9.6,
663,2001-05-07,,     9.4,
663,2001-05-08,,     9.3,
663,2001-05-09,,     8.9,
663,2001-05-10,,     8.5,
663,2001-05-11,,     7.8,
663,2001-05-12,,     7.1,
663,2001-05-13,,     6.0,
663,2001-05-14,,     5.1,
663,2001-05-15,,     3.8,
663,2001-05-16,,     2.6,
663,2001-05-17,,     1.5,
663,2001-05-18,,     1.4,
663,2001-05-19,,     0.8,
663,2001-05-20,,     0.8,
663,2001-05-21,,     0.9,
663,2001-05-22,,     0.7,
663,2001-05-23,,     0.6,
663,2001-05-24,,     0.0,
663,2001-05-25,,     0.0,
663,2001-05-26,,     0.0,
663,2001-05-27,,     0.0,
663,2001-05-28,,     0.0,
663,2001-05-29,,     0.0,
663,2001-05-30,,     0.0,
663,2001-05-31,,     0.0,
663,2001-06-01,,     0.0,
663,2001-06-02,,     0.0,
663,2001-06-03,,     0.0,
663,2001-06-04,,     0.0,
663,2001-06-05,,     0.0,
663,2001-06-06,,     0.0,
663,2001-06-07,,     0.0,
663,2001-06-08,,     0.0,
663,2001-06-09,,     0.0,
663,2001-06-10,,     0.0,
663,2001-06-11,,     0.0,
663,2001-06-12,,     0.0,
663,2001-06-13,,     0.0,
663,2001-06-14,,     0.0,
663,2001-06-15,,     0.0,
663,2001-06-16,,     0.0,
663,2001-06-17,,     0.0,
663,2001-06-18,,     0.0,
663,2001-06-19,,     0.0,
663,2001-06-20,,     0.0,
663,2001-06-21,,     0.0,
663,2001-06-22,,     0.0,
663,2001-06-23,,     0.0,
663,2001-06-24,,     0.0,
663,2001-06-25,,     0.0,
663,2001-06-26,,     0.0,
663,2001-06-27,,     0.0,
663,2001-06-28,,     0.0,
663,2001-06-29,,     0.0,
663,2001-06-30,,     0.0,
663,2001-07-01,,     0.0,
663,2001-07-02,,     0.0,
663,2001-07-03,,     0.0,
663,2001-07-04,,     0.0,
663,2001-07-05,,     0.0,
663,2001-07-06,,     0.0,
663,2001-07-07,,     0.0,
663,2001-07-08,,     0.0,
663,2001-07-09,,     0.0,
663,2001-07-10,,     0.0,
663,2001-07-11,,     0.0,
663,2001-07-12,,     0.0,
663,2001-07-13,,     0.0,
663,2001-07-14,,     0.0,
663,2001-07-15,,     0.0,
663,2001-07-16,,     0.0,
663,2001-07-17,,     0.0,
663,2001-07-18,,     0.0,
663,2001-07-19,,     0.0,
663,2001-07-20,,     0.0,
663,2001-07-21,,     0.0,
663,2001-07-22,,     0.0,
663,2001-07-23,,     0.0,
663,2001-07-24,,     0.0,
663,2001-07-25,,     0.0,
663,2001-07-26,,     0.0,
663,2001-07-27,,     0.0,
663,2001-07-28,,     0.0,
663,2001-07-29,,     0.0,
663,2001-07-30,,     0.0,
663,2001-07-31,,     0.0,
663,2001-08-01,,     0.0,
663,2001-08-02,,     0.0,
663,2001-08-03,,     0.0,
663,2001-08-04,,     0.0,
663,2001-08-05,,     0.0,
663,2001-08-06,,     0.0,
663,2001-08-07,,     0.0,
663,2001-08-08,,     0.0,
663,2001-08-09,,     0.0,
663,2001-08-10,,     0.0,
663,2001-08-11,,     0.0,
663,2001-08-12,,     0.0,
663,2001-08-13,,     0.0,
663,2001-08-14,,     0.0,
663,2001-08-15,,     0.0,
663,2001-08-16,,     0.0,
663,2001-08-17,,     0.0,
663,2001-08-18,,     0.0,
663,2001-08-19,,     0.0,
663,2001-08-20,,     0.0,
663,2001-08-21,,     0.0,
663,2001-08-22,,     0.0,
663,2001-08-23,,     0.0,
663,2001-08-24,,     0.0,
663,2001-08-25,,     0.0,
663,2001-08-26,,     0.0,
663,2001-08-27,,     0.0,
663,2001-08-28,,     0.0,
663,2001-08-29,,     0.0,
663,2001-08-30,,     0.0,
663,2001-08-31,,     0.0,
663,2001-09-01,,     0.0,
663,2001-09-02,,     0.0,
663,2001-09-03,,     0.0,
663,2001-09-04,,     0.0,
663,2001-09-05,,     0.0,
663,2001-09-06,,     0.0,
663,2001-09-07,,     0.0,
663,2001-09-08,,     0.3,
663,2001-09-09,,     1.4,
663,2001-09-10,,     1.1,
663,2001-09-11,,     0.4,
663,2001-09-12,,     0.1,
663,2001-09-13,,     0.0,
663,2001-09-14,,     0.0,
663,2001-09-15,,     0.0,
663,2001-09-16,,     0.0,
663,2001-09-17,,     0.0,
663,2001-09-18,,     0.0,
663,2001-09-19,,     0.0,
663,2001-09-20,,     0.0,
663,2001-09-21,,     0.0,
663,2001-09-22,,     0.0,
663,2001-09-23,,     0.0,
663,2001-09-24,,     0.0,
663,2001-09-25,,     0.0,
663,2001-09-26,,     0.0,
663,2001-09-27,,     0.0,
663,2001-09-28,,     0.0,
663,2001-09-29,,     0.0,
663,2001-09-30,,     0.0,
663,2001-09-30,23:59,     0.1,
663,2001-10-01,,     0.0,
663,2001-10-02,,     0.0,
663,2001-10-03,,     0.0,
663,2001-10-04,,     0.0,
663,2001-10-05,,     0.0,
663,2001-10-06,,     0.0,
663,2001-10-07,,     0.0,
663,2001-10-08,,     0.0,
663,2001-10-09,,     0.0,
663,2001-10-10,,     0.0,
663,2001-10-11,,     0.0,
663,2001-10-12,,     0.0,
663,2001-10-13,,     0.0,
663,2001-10-14,,     0.1,
663,2001-10-15,,     0.4,
663,2001-10-16,,     0.4,
663,2001-10-17,,     0.3,
663,2001-10-18,,     0.3,
663,2001-10-19,,     0.3,
663,2001-10-20,,     0.3,
663,2001-10-21,,     0.3,
663,2001-10-22,,     0.3,
663,2001-10-23,,     0.6,
663,2001-10-24,,     0.8,
663,2001-10-25,,     0.7,
663,2001-10-26,,     0.6,
663,2001-10-27,,     0.5,
663,2001-10-28,,     0.5,
663,2001-10-29,,     0.1,
663,2001-10-30,,     0.2,
663,2001-10-31,,     0.3,
663,2001-11-01,,     0.5,
663,2001-11-02,,     0.3,
663,2001-11-03,,     0.3,
663,2001-11-04,,     0.3,
663,2001-11-05,,     0.4,
663,2001-11-06,,     0.4,
663,2001-11-07,,     0.4,
663,2001-11-08,,     0.9,
663,2001-11-09,,     0.9,
663,2001-11-10,,     0.8,
663,2001-11-11,,     0.8,
663,2001-11-12,,     0.8,
663,2001-11-13,,     0.8,
663,2001-11-14,,     0.8,
663,2001-11-15,,     0.7,
663,2001-11-16,,     0.7,
663,2001-11-17,,     0.7,
663,2001-11-18,,     0.9,
663,2001-11-19,,     1.2,
663,2001-11-20,,     1.2,
663,2001-11-21,,     1.1,
663,2001-11-22,,     1.0,
663,2001-11-23,,     1.1,
663,2001-11-24,,     1.1,
663,2001-11-25,,     1.1,
663,2001-11-26,,     1.4,
663,2001-11-27,,     1.5,
663,2001-11-28,,     1.5,
663,2001-11-29,,     1.5,
663,2001-11-30,,     1.5,
663,2001-12-01,,     1.7,
663,2001-12-02,,     1.8,
663,2001-12-03,,     1.8,
663,2001-12-04,,     1.8,
663,2001-12-05,,     1.8,
663,2001-12-06,,     2.1,
663,2001-12-07,,     2.1,
663,2001-12-08,,     2.2,
663,2001-12-09,,     2.3,
663,2001-12-10,,     2.3,
663,2001-12-11,,     2.3,
663,2001-12-12,,     2.3,
663,2001-12-13,,     2.3,
663,2001-12-14,,     2.5,
663,2001-12-15,,     2.5,
663,2001-12-16,,     2.5,
663,2001-12-17,,     2.8,
663,2001-12-18,,     2.8,
663,2001-12-19,,     2.8,
663,2001-12-20,,     2.8,
663,2001-12-21,,     2.8,
663,2001-12-22,,     2.8,
663,2001-12-23,,     2.8,
663,2001-12-24,,     2.8,
663,2001-12-25,,     2.8,
663,2001-12-26,,     2.8,
663,2001-12-27,,     2.8,
663,2001-12-28,,     2.8,
663,2001-12-29,,     2.8,
663,2001-12-30,,     2.8,
663,2001-12-31,,     2.8,




