 Mon May 16 09:14:54 PDT 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (PST),WTEQ.I-1 (in) ,
663,2008-01-01,,     4.9,
663,2008-01-02,,     5.0,
663,2008-01-03,,     5.1,
663,2008-01-04,,     5.1,
663,2008-01-05,,     5.1,
663,2008-01-06,,     5.1,
663,2008-01-07,,     5.2,
663,2008-01-08,,     5.4,
663,2008-01-09,,     5.6,
663,2008-01-10,,     5.6,
663,2008-01-11,,     5.7,
663,2008-01-12,,     5.9,
663,2008-01-13,,     5.9,
663,2008-01-14,,     6.0,
663,2008-01-15,,     6.0,
663,2008-01-16,,     6.0,
663,2008-01-17,,     6.1,
663,2008-01-18,,     6.1,
663,2008-01-19,,     6.1,
663,2008-01-20,,     6.3,
663,2008-01-21,,     6.3,
663,2008-01-22,,     6.3,
663,2008-01-23,,     6.4,
663,2008-01-24,,     6.5,
663,2008-01-25,,     6.6,
663,2008-01-26,,     6.7,
663,2008-01-27,,     6.9,
663,2008-01-28,,     6.9,
663,2008-01-29,,     6.9,
663,2008-01-30,,     7.1,
663,2008-01-31,,     7.2,
663,2008-02-01,,     7.3,
663,2008-02-02,,     7.6,
663,2008-02-03,,     7.6,
663,2008-02-04,,     7.7,
663,2008-02-05,,     7.9,
663,2008-02-06,,     8.0,
663,2008-02-07,,     8.1,
663,2008-02-08,,     8.5,
663,2008-02-09,,     8.8,
663,2008-02-10,,     8.9,
663,2008-02-11,,     8.9,
663,2008-02-12,,     9.1,
663,2008-02-13,,     9.2,
663,2008-02-14,,     9.3,
663,2008-02-15,,     9.4,
663,2008-02-16,,     9.4,
663,2008-02-17,,     9.4,
663,2008-02-18,,     9.4,
663,2008-02-19,,     9.5,
663,2008-02-20,,     9.6,
663,2008-02-21,,     9.6,
663,2008-02-22,,     9.6,
663,2008-02-23,,     9.6,
663,2008-02-24,,     9.6,
663,2008-02-25,,     9.8,
663,2008-02-26,,    10.1,
663,2008-02-27,,    10.2,
663,2008-02-28,,    10.2,
